{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10.igc', 'dec_date': '250111', 'dec_heure': '120833', 'nearest_dist': 759.7588512561554, 'nearest': 'FAYENCE', 'maxi_date': '250111', 'maxi_heure': '141457', 'altiMax': 1630.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_100.igc', 'dec_date': '070111', 'dec_heure': '085312', 'nearest_dist': 320.7611684755713, 'nearest': 'SAINT GAUDENS MONTREJEAU', 'maxi_date': '070111', 'maxi_heure': '124300', 'altiMax': 5896.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1000.igc', 'dec_date': '260311', 'dec_heure': '115110', 'nearest_dist': 686.9146423455509, 'nearest': 'FAYENCE', 'maxi_date': '260311', 'maxi_heure': '122902', 'altiMax': 1871.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10000.igc', 'dec_date': '220511', 'dec_heure': '114646', 'nearest_dist': 348.38587237835014, 'nearest': 'ISSOUDUN LE FAY', 'maxi_date': '220511', 'maxi_heure': '133006', 'altiMax': 1600.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10001.igc', 'dec_date': '230511', 'dec_heure': '111934', 'nearest_dist': 181.14680232735543, 'nearest': 'ISSOUDUN LE FAY', 'maxi_date': '230511', 'maxi_heure': '140650', 'altiMax': 1665.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10002.igc', 'dec_date': '250511', 'dec_heure': '123359', 'nearest_dist': 348.28330834080964, 'nearest': 'SARREGUEMINES NEUNKIRCH', 'maxi_date': '250511', 'maxi_heure': '144547', 'altiMax': 1763.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10003.igc', 'dec_date': '250511', 'dec_heure': '111106', 'nearest_dist': 492.24340039504625, 'nearest': 'GRENOBLE LE VERSOUD', 'maxi_date': '250511', 'maxi_heure': '132041', 'altiMax': 4114.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10004.igc', 'dec_date': '250511', 'dec_heure': '164811', 'nearest_dist': 409.6996670818075, 'nearest': 'CHAMBERY CHALLES LES EAUX', 'maxi_date': '250511', 'maxi_heure': '165656', 'altiMax': 1681.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10005.igc', 'dec_date': '250511', 'dec_heure': '120037', 'nearest_dist': 337.0615735228829, 'nearest': 'MORET EPISY', 'maxi_date': '250511', 'maxi_heure': '123325', 'altiMax': 1227.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10006.igc', 'dec_date': '250511', 'dec_heure': '131342', 'nearest_dist': 1000.7401988389946, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '250511', 'maxi_heure': '133122', 'altiMax': 1219.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10007.igc', 'dec_date': '250511', 'dec_heure': '145510', 'nearest_dist': 966.4978180528943, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '250511', 'maxi_heure': '155446', 'altiMax': 1121.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10008.igc', 'dec_date': '110511', 'dec_heure': '125318', 'nearest_dist': 963.0681817487547, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '110511', 'maxi_heure': '143046', 'altiMax': 1285.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10009.igc', 'dec_date': '110511', 'dec_heure': '150715', 'nearest_dist': 515.671201799069, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '110511', 'maxi_heure': '161951', 'altiMax': 1516.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1001.igc', 'dec_date': '260311', 'dec_heure': '133019', 'nearest_dist': 562.0272403128927, 'nearest': 'ROMORANTIN PRUNIERS', 'maxi_date': '260311', 'maxi_heure': '152851', 'altiMax': 1565.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10010.igc', 'dec_date': '250511', 'dec_heure': '110948', 'nearest_dist': 612.7583981087685, 'nearest': 'VINON', 'maxi_date': '250511', 'maxi_heure': '140732', 'altiMax': 3753.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10011.igc', 'dec_date': '140511', 'dec_heure': '121455', 'nearest_dist': 518.7325006070918, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '140511', 'maxi_heure': '123511', 'altiMax': 1343.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10018.igc', 'dec_date': '040511', 'dec_heure': '152826', 'nearest_dist': 958.9650972493479, 'nearest': 'COULOMMIERS VOISINS', 'maxi_date': '040511', 'maxi_heure': '161442', 'altiMax': 1787.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_10019.igc', 'dec_date': '250511', 'dec_heure': '105118', 'nearest_dist': 465.5940474319114, 'nearest': 'GRENOBLE LE VERSOUD', 'maxi_date': '250511', 'maxi_heure': '133713', 'altiMax': 4002.0}
{'path': 'J:\\OneDrive\\Vol a voile\\Fichiers igc degribes\\NetCoupe2011_1002.igc', 'dec_date': '260311', 'dec_heure': '112058', 'nearest_dist': 297.8510301560567, 'nearest': 'SAINT GAUDENS MONTREJEAU', 'maxi_date': '260311', 'maxi_heure': '132648', 'altiMax': 3407.0}
